,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.2,1.34569,1.34569,1.34567,1.34565,1.34562,1.34558,1.34553,1.34547,1.3454,1.34532,1.34523,1.34513,1.34502,1.34491,1.34478,1.34465,1.3445,1.34435,1.34418,1.34401,1.34382,1.34363,1.34343,1.34322,1.34299,1.34277,1.34253,1.34228,1.34202,1.34176,1.34149,1.34121,1.34092,1.34063,1.34032,1.34002,1.3397,1.33938,1.33905,1.33872,1.33838,1.33804,1.33769,1.33734,1.33698,1.33663,1.33627,1.3359,1.33554,1.33517,1.3348,1.33444,1.33407,1.3337,1.33333,1.33297,1.33261,1.33225,1.33189,1.33154,1.33119,1.33085,1.33051,1.33017,1.32984,1.32953,1.32921,1.32891,1.32861,1.32832,1.32805,1.32778,1.32752,1.32727,1.32704,1.32681,1.3266,1.3264,1.32621,1.32604,1.32588,1.32573,1.3256,1.32549,1.32538,1.3253,1.32523,1.32517,1.32513,1.32511,1.3251
0.4,1.79929,1.79927,1.7992,1.79907,1.79888,1.79866,1.79837,1.79803,1.79764,1.7972,1.79671,1.79617,1.79556,1.79492,1.79421,1.79346,1.79265,1.7918,1.79089,1.78994,1.78893,1.78788,1.78678,1.78564,1.78444,1.78321,1.78193,1.78061,1.77924,1.77785,1.77641,1.77493,1.77342,1.77188,1.7703,1.7687,1.76706,1.76541,1.76372,1.76202,1.76029,1.75855,1.75679,1.75502,1.75323,1.75143,1.74963,1.74782,1.746,1.74419,1.74238,1.74057,1.73877,1.73697,1.73519,1.73342,1.73166,1.72992,1.7282,1.7265,1.72482,1.72318,1.72156,1.71997,1.71841,1.71689,1.71541,1.71396,1.71256,1.7112,1.70989,1.70863,1.70741,1.70625,1.70514,1.70409,1.7031,1.70217,1.70129,1.70048,1.69973,1.69906,1.69845,1.6979,1.69742,1.69703,1.69669,1.69644,1.69625,1.69614,1.6961
0.6,2.38944,2.38937,2.38913,2.38873,2.38815,2.38743,2.38654,2.38549,2.38426,2.3829,2.38136,2.37967,2.3778,2.3758,2.37363,2.37131,2.36883,2.36622,2.36345,2.36055,2.35749,2.35432,2.35101,2.34757,2.34399,2.34032,2.33652,2.33262,2.3286,2.3245,2.3203,2.31601,2.31163,2.30719,2.30266,2.29808,2.29342,2.28872,2.28397,2.27918,2.27433,2.26948,2.26459,2.25968,2.25475,2.24983,2.2449,2.23998,2.23505,2.23016,2.22527,2.22042,2.21559,2.21081,2.20607,2.20138,2.19673,2.19216,2.18764,2.18319,2.17881,2.17453,2.17032,2.16621,2.16218,2.15827,2.15445,2.15074,2.14714,2.14367,2.14032,2.1371,2.134,2.13105,2.12824,2.12557,2.12304,2.12068,2.11847,2.11642,2.11453,2.11282,2.11127,2.1099,2.10869,2.10768,2.10684,2.10619,2.10571,2.10544,2.10535
0.8,3.15032,3.15016,3.14956,3.14857,3.14715,3.1454,3.14321,3.14064,3.13764,3.13431,3.13057,3.12645,3.12192,3.11708,3.11185,3.10628,3.10033,3.0941,3.08751,3.08062,3.0734,3.06594,3.05818,3.05016,3.04186,3.03336,3.02462,3.01567,3.0065,2.99719,2.98769,2.97803,2.96822,2.95832,2.94828,2.93815,2.92791,2.91764,2.90729,2.89689,2.88645,2.87602,2.86556,2.85511,2.84466,2.83427,2.8239,2.81359,2.80332,2.79316,2.78306,2.77305,2.76314,2.75336,2.74369,2.73416,2.72475,2.71552,2.70643,2.69752,2.68876,2.68021,2.67184,2.66368,2.6557,2.64797,2.64045,2.63316,2.62609,2.6193,2.61274,2.60645,2.6004,2.59467,2.58919,2.58401,2.5791,2.57453,2.57024,2.56627,2.56261,2.5593,2.5563,2.55365,2.55132,2.54937,2.54775,2.54649,2.54556,2.54504,2.54485
1,4.12209,4.12174,4.12046,4.11835,4.11532,4.11157,4.1069,4.10142,4.09504,4.08797,4.08003,4.07133,4.0618,4.05163,4.04068,4.02906,4.0167,4.0038,3.99023,3.97609,3.96134,3.94616,3.93044,3.91427,3.89763,3.88068,3.86332,3.84564,3.82761,3.8094,3.79091,3.77222,3.75332,3.73434,3.7152,3.69598,3.67666,3.65736,3.63801,3.61868,3.59935,3.58014,3.56096,3.54189,3.5229,3.50411,3.48544,3.46694,3.4486,3.43053,3.41263,3.39498,3.37755,3.36043,3.34356,3.32698,3.31067,3.29473,3.27907,3.26376,3.24877,3.23418,3.21993,3.20606,3.19254,3.17947,3.16678,3.15451,3.14263,3.13124,3.12026,3.10974,3.09964,3.09008,3.08096,3.07233,3.06417,3.05658,3.04946,3.04288,3.0368,3.03132,3.02635,3.02195,3.01808,3.01485,3.01217,3.01008,3.00854,3.00767,3.00736
1.2,5.35098,5.3503,5.3478,5.34369,5.33777,5.33046,5.32137,5.31071,5.29834,5.28465,5.26934,5.25259,5.23431,5.21489,5.19405,5.17201,5.14869,5.12445,5.09908,5.07276,5.04545,5.01748,4.98866,4.95918,4.92899,4.89841,4.86725,4.8357,4.80371,4.77156,4.73909,4.70646,4.67362,4.64083,4.60794,4.57509,4.54223,4.50958,4.47702,4.44464,4.41242,4.38055,4.3489,4.31757,4.28651,4.25591,4.22564,4.19579,4.1663,4.13736,4.10883,4.08079,4.0532,4.02621,3.99969,3.97372,3.94825,3.92344,3.89916,3.87547,3.85233,3.82988,3.808,3.78677,3.76612,3.7462,3.72689,3.70825,3.69025,3.67301,3.65642,3.64054,3.62533,3.61094,3.59722,3.58427,3.57202,3.56063,3.54996,3.5401,3.53099,3.52278,3.51534,3.50876,3.50296,3.49813,3.4941,3.49097,3.48866,3.48736,3.4869
1.4,6.88922,6.888,6.88343,6.87591,6.86509,6.85177,6.83522,6.81585,6.79342,6.76869,6.74108,6.71101,6.67832,6.64372,6.60677,6.56786,6.52689,6.48452,6.4404,6.39488,6.34789,6.30004,6.25102,6.20115,6.15037,6.09922,6.04742,5.99526,5.94266,5.89013,5.83736,5.78463,5.73185,5.67946,5.62718,5.57524,5.52354,5.47248,5.42178,5.37164,5.32196,5.27309,5.22476,5.17715,5.13014,5.08406,5.03865,4.99405,4.95017,4.90729,4.86515,4.8239,4.78344,4.74401,4.70539,4.6677,4.63084,4.59504,4.5601,4.5261,4.49297,4.46093,4.42976,4.39958,4.37028,4.34209,4.3148,4.28852,4.26316,4.23892,4.21562,4.19336,4.17205,4.1519,4.13273,4.11463,4.09752,4.08163,4.06675,4.05301,4.0403,4.02886,4.0185,4.00932,4.00123,3.99449,3.98887,3.9845,3.98127,3.97946,3.97881
1.6,8.79459,8.7925,8.78458,8.77155,8.75277,8.72972,8.70113,8.66775,8.62918,8.58682,8.53969,8.48857,8.43322,8.37494,8.31298,8.24809,8.1801,8.11022,8.03782,7.96357,7.88736,7.81025,7.73169,7.65226,7.57185,7.49138,7.41035,7.32924,7.24792,7.1672,7.08657,7.00647,6.92672,6.84802,6.7699,6.69269,6.61625,6.54114,6.46692,6.39389,6.32185,6.25134,6.1819,6.1138,6.04685,5.98149,5.91734,5.85458,5.79306,5.73316,5.67451,5.61729,5.56133,5.50699,5.45392,5.40228,5.35191,5.30314,5.25564,5.20955,5.16473,5.12149,5.07951,5.03893,4.99962,4.96187,4.92539,4.8903,4.85648,4.82422,4.79324,4.76367,4.73538,4.70868,4.68327,4.65931,4.63667,4.61565,4.59598,4.5778,4.56099,4.54589,4.53218,4.52004,4.50934,4.50043,4.49299,4.4872,4.4829,4.48051,4.47965
1.8,11.12966,11.12626,11.11308,11.09143,11.0602,11.02204,10.97474,10.91967,10.85619,10.7868,10.70989,10.62685,10.53733,10.44362,10.34451,10.24128,10.13374,10.0239,9.91077,9.79547,9.67783,9.5596,9.43986,9.31957,9.19852,9.07818,8.9577,8.83785,8.71838,8.60051,8.48345,8.3678,8.25328,8.14092,8.02994,7.92085,7.81333,7.70827,7.60492,7.50369,7.40428,7.30742,7.21243,7.11965,7.02878,6.94045,6.85405,6.76984,6.68754,6.60773,6.52981,6.45403,6.38012,6.30859,6.2389,6.17128,6.10546,6.04192,5.98015,5.92037,5.86233,5.80647,5.75233,5.7001,5.64956,5.60113,5.55437,5.50948,5.46624,5.42507,5.38556,5.34788,5.31186,5.27789,5.24559,5.21514,5.18637,5.15969,5.13471,5.11164,5.09029,5.07112,5.05372,5.0383,5.02469,5.01337,5.0039,4.99653,4.99104,4.98801,4.9869
2,13.96072,13.95541,13.93428,13.8996,13.84952,13.78861,13.71319,13.62567,13.52508,13.41569,13.29495,13.16523,13.02608,12.88135,12.7291,12.57151,12.40828,12.24273,12.07325,11.90166,11.72766,11.554,11.37922,11.20476,11.03024,10.85793,10.68642,10.51684,10.34874,10.18395,10.02115,9.86121,9.70363,9.54991,9.39881,9.25101,9.10601,8.96503,8.82694,8.69228,8.56054,8.43278,8.30795,8.18648,8.0679,7.95312,7.84118,7.73245,7.62649,7.52408,7.42438,7.32768,7.2336,7.14283,7.05459,6.96917,6.88619,6.80629,6.72877,6.65388,6.58129,6.51158,6.44411,6.37913,6.31632,6.25624,6.1983,6.14274,6.08926,6.03842,5.98965,5.94319,5.89878,5.85696,5.81719,5.77973,5.74432,5.71151,5.68079,5.65242,5.62615,5.60257,5.58115,5.56217,5.54539,5.53145,5.51977,5.51068,5.50388,5.50015,5.49878
2.2,17.35645,17.34845,17.31562,17.26183,17.18402,17.08992,16.97351,16.83893,16.68474,16.51807,16.33487,16.13916,15.93031,15.71459,15.48898,15.25697,15.01814,14.7777,14.53308,14.28709,14.0392,13.79359,13.54791,13.30427,13.062,12.82441,12.58927,12.35817,12.13032,11.90833,11.69014,11.47692,11.26785,11.06503,10.86655,10.67332,10.48452,10.30186,10.12362,9.95052,9.78177,9.61882,9.46012,9.30624,9.15648,9.01204,8.87158,8.73554,8.60331,8.47594,8.3522,8.23251,8.11629,8.00448,7.89599,7.79119,7.68956,7.59194,7.49737,7.40616,7.31787,7.23327,7.15148,7.0728,6.99683,6.9243,6.85439,6.78743,6.72301,6.66186,6.60323,6.54741,6.49406,6.44388,6.39617,6.35123,6.30875,6.26943,6.23259,6.19857,6.16704,6.13877,6.11306,6.09028,6.07009,6.05336,6.0393,6.02834,6.02013,6.01564,6.01398
2.4,21.38637,21.37471,21.32513,21.24406,21.12657,20.98537,20.81087,20.60997,20.38055,20.13421,19.86469,19.57851,19.27478,18.96342,18.63972,18.30915,17.97098,17.63316,17.29164,16.95057,16.609,16.27309,15.93908,15.60999,15.28464,14.96772,14.65577,14.35095,14.05195,13.76239,13.47914,13.20374,12.93488,12.67543,12.42258,12.17747,11.93888,11.70911,11.48568,11.26949,11.05941,10.85735,10.66113,10.47148,10.28738,10.11045,9.93879,9.773,9.61219,9.45775,9.30802,9.16352,9.02345,8.88906,8.75885,8.63332,8.51175,8.39525,8.28252,8.17398,8.06901,7.96863,7.87166,7.77851,7.68862,7.60295,7.52043,7.44145,7.36551,7.29352,7.2245,7.15884,7.09609,7.03714,6.98107,6.92828,6.87835,6.83218,6.78891,6.74893,6.71186,6.67865,6.64841,6.6216,6.59781,6.5781,6.56152,6.54859,6.53885,6.53357,6.5316
2.6,26.11923,26.10277,26.02982,25.91076,25.73787,25.53151,25.27681,24.98487,24.65272,24.29861,23.91307,23.50633,23.07714,22.64065,22.18968,21.7324,21.26759,20.80694,20.3442,19.88526,19.42847,18.98255,18.54176,18.1102,17.68588,17.27528,16.8732,16.48248,16.10103,15.73376,15.37604,15.0299,14.69334,14.37017,14.05636,13.7534,13.45947,13.17762,12.90439,12.64091,12.38558,12.1409,11.9039,11.67549,11.45426,11.24234,11.03715,10.83946,10.64806,10.46476,10.28734,10.11646,9.95107,9.79277,9.63961,9.49219,9.34958,9.21322,9.08139,8.95465,8.83218,8.71527,8.60243,8.49414,8.38971,8.29033,8.19464,8.10313,8.01517,7.93189,7.85206,7.77616,7.70361,7.63552,7.57075,7.50979,7.4521,7.39881,7.34881,7.30264,7.25977,7.2214,7.18641,7.15538,7.12781,7.10499,7.08574,7.07073,7.05937,7.05326,7.05095
2.8,31.6214,31.59884,31.49402,31.32328,31.07485,30.78052,30.4177,30.00386,29.53483,29.03865,28.5012,27.93803,27.34733,26.75154,26.1399,25.52417,24.9023,24.29097,23.68068,23.07956,22.4848,21.90846,21.34193,20.79063,20.25138,19.73292,19.22764,18.73918,18.26437,17.80975,17.36871,16.9438,16.53213,16.1387,15.75792,15.39165,15.03733,14.69896,14.37179,14.05728,13.75321,13.46285,13.18219,12.91241,12.65161,12.40254,12.1618,11.93036,11.70662,11.49292,11.28635,11.08777,10.8958,10.71247,10.53529,10.36501,10.20043,10.04338,9.89168,9.74601,9.60533,9.47129,9.34196,9.21799,9.09847,8.98491,8.8756,8.77114,8.67073,8.5758,8.48479,8.3983,8.31562,8.23811,8.16435,8.09494,8.02922,7.96856,7.91162,7.85901,7.81013,7.76641,7.72649,7.69108,7.65955,7.63349,7.61146,7.59426,7.58119,7.5742,7.57153
3,37.95535,37.92531,37.77795,37.53845,37.18918,36.77871,36.27341,35.70004,35.05288,34.37385,33.64226,32.88106,32.08752,31.29402,30.48455,29.67564,28.86379,28.07219,27.28672,26.51824,25.76223,25.03489,24.32369,23.63563,22.96583,22.32584,21.70484,21.10742,20.529,19.97806,19.44547,18.93444,18.44089,17.97132,17.51813,17.08366,16.66444,16.26561,15.88086,15.51201,15.15614,14.81742,14.49061,14.1772,13.87471,13.58664,13.3086,13.04183,12.78425,12.53884,12.30189,12.07448,11.85483,11.64554,11.44344,11.24948,11.06214,10.88372,10.71147,10.54626,10.38678,10.23509,10.08879,9.94867,9.81361,9.68547,9.56215,9.44438,9.33117,9.22428,9.12179,9.02444,8.93134,8.84416,8.76116,8.68307,8.60908,8.54086,8.47676,8.41754,8.36245,8.31322,8.26821,8.22826,8.19262,8.16321,8.13827,8.11879,8.10392,8.09603,8.09298
3.2,45.17829,45.13941,44.93643,44.60725,44.1261,43.56546,42.87631,42.09863,41.22461,40.31548,39.34133,38.33509,37.29255,36.25927,35.21179,34.17269,33.13621,32.13378,31.14486,30.18365,29.24308,28.34454,27.47025,26.62903,25.81374,25.03935,24.29091,23.57414,22.88259,22.22716,21.59557,20.99176,20.41023,19.85926,19.32883,18.82185,18.33373,17.87099,17.42547,16.99943,16.58906,16.19968,15.82457,15.46557,15.11955,14.7909,14.47407,14.17062,13.87791,13.59969,13.3313,13.0741,12.82586,12.58982,12.36204,12.14369,11.93292,11.73255,11.5392,11.35394,11.17516,11.00539,10.84169,10.68504,10.53405,10.39102,10.25335,10.12198,9.99567,9.87656,9.76234,9.65388,9.55011,9.45306,9.36061,9.27365,9.19119,9.11523,9.04381,8.97781,8.91634,8.86145,8.81121,8.76659,8.7267,8.69382,8.66588,8.64404,8.62727,8.61844,8.615
3.4,53.34103,53.29213,53.01776,52.57388,51.9234,51.17239,50.25062,49.21647,48.05933,46.86659,45.59564,44.29254,42.95072,41.63274,40.30486,38.9971,37.70036,36.45628,35.23572,34.05676,32.90888,31.81977,30.7648,29.75495,28.78014,27.85946,26.97278,26.12715,25.31381,24.54657,23.80926,23.10676,22.43179,21.79481,21.18288,20.59961,20.03906,19.50944,19.00036,18.51465,18.04746,17.60544,17.18016,16.77392,16.38277,16.0122,15.6553,15.31401,14.98506,14.6731,14.37238,14.08457,13.80694,13.5435,13.28939,13.04608,12.81129,12.5885,12.37358,12.16783,11.96931,11.78111,11.59966,11.42615,11.2589,11.10071,10.94844,10.8032,10.66353,10.532,10.40582,10.28606,10.17142,10.06432,9.96225,9.86625,9.77514,9.69131,9.6124,9.53948,9.47148,9.41082,9.3552,9.3058,9.26154,9.2251,9.19405,9.16976,9.15102,9.14122,9.13736
3.6,62.48705,62.42735,62.06295,61.4749,60.61084,59.62284,58.41209,57.06195,55.55806,54.02247,52.39529,50.73947,49.04476,47.39523,45.74323,44.12775,42.53488,41.01879,39.53901,38.11817,36.74115,35.44322,34.19111,32.9983,31.85096,30.7732,29.73847,28.75543,27.81246,26.92692,26.07794,25.27151,24.49826,23.77126,23.07409,22.41123,21.77517,21.17611,20.60107,20.05353,19.52749,19.03115,18.5541,18.09917,17.66152,17.2479,16.84984,16.46973,16.10359,15.7571,15.42328,15.10417,14.79648,14.50507,14.22409,13.95533,13.69603,13.45041,13.21351,12.98692,12.76829,12.56137,12.36187,12.17123,11.98744,11.81386,11.64675,11.48744,11.33419,11.19007,11.05176,10.92052,10.79482,10.67754,10.5657,10.46051,10.3606,10.26877,10.18225,10.10229,10.02762,9.96107,9.89998,9.84568,9.79692,9.75684,9.72259,9.69577,9.67497,9.66419,9.65988
3.8,72.65182,72.58114,72.10509,71.33882,70.20966,68.93166,67.36798,65.63524,63.714,61.77128,59.72409,57.65656,55.55296,53.52409,51.50375,49.54167,47.61728,45.79986,44.03438,42.3488,40.72202,39.1984,37.73393,36.34505,35.01332,33.76878,32.5772,31.44911,30.36951,29.35996,28.39404,27.4791,26.6033,25.78279,24.99714,24.25183,23.53754,22.86685,22.22376,21.61256,21.02588,20.4738,19.9436,19.43877,18.95341,18.49579,18.05563,17.63586,17.23169,16.85002,16.48245,16.13146,15.79311,15.47328,15.16496,14.87032,14.58608,14.31731,14.0581,13.81036,13.57131,13.34542,13.12761,12.91961,12.71905,12.5299,12.34776,12.1742,12.00718,11.85031,11.69971,11.55686,11.41995,11.29237,11.17062,11.05613,10.94729,10.84736,10.75311,10.666,10.58454,10.51202,10.44534,10.38605,10.33268,10.28888,10.25134,10.22192,10.19899,10.18718,10.18242
